Reviewer ID,Paper ID,Originality,Significance,Correctness,Experiments,Reproducibility,Clarity,Overall
h7nc,552,3,2,3,2,2,2,4
84C7,143,3,3,3,1,3,3,6
bD5F,610,3,3,3,3,3,4,7
KJ5v,648,2,1,2,1,2,3,2
oD8V,733,3,3,3,3,3,4,6
jkW9,517,2,2,2,1,2,2,3
dCms,203,3,3,3,2,2,2,4
637n,267,3,2,3,2,3,4,4
GiWC,113,3,2,3,3,4,4,6
dY4R,610,3,3,3,3,2,3,7
7xkH,274,3,3,3,2,2,3,4
aLE1,701,2,3,3,2,4,2,4
ytuP,367,2,1,3,2,3,2,3
9ZZx,517,3,3,3,3,3,2,6
Ytrt,52,1,2,3,2,2,3,3
EnfR,577,2,2,3,2,2,2,3
xV4i,52,2,2,3,3,3,3,6
Zi6q,138,2,2,3,0,3,3,4
7BHK,485,2,2,3,3,3,3,4
sN6S,394,2,2,3,2,3,3,5
nYGG,267,2,1,2,2,3,4,3
o77E,733,2,2,2,2,1,1,5
mVNX,349,3,2,3,2,2,2,5
1L1a,555,3,3,1,2,3,2,4
CFJ4,355,2,2,2,1,2,3,4
Nywi,280,2,2,3,2,3,3,4
X4Af,632,1,1,3,2,2,3,4
3n1s,535,2,2,1,3,1,3,3
nVog,632,2,2,3,3,3,4,3
pifW,406,2,2,3,3,3,4,6
f5Um,346,2,2,3,2,2,1,3
UQ2M,372,2,3,3,2,2,3,4
R7K4,100,2,1,1,2,2,1,4
Rh4m,45,3,2,3,2,3,3,5
CjkF,282,2,2,2,2,2,2,3
F9N9,299,3,3,2,3,2,2,6
LhVm,380,3,3,3,3,3,3,7
6fyP,406,2,3,2,3,3,2,6
fgjw,535,3,3,3,3,3,3,7
wk3W,148,3,3,3,3,2,3,7
Pcxp,596,2,2,3,2,2,4,6
6USj,431,2,2,2,3,3,2,3
1bsG,468,2,2,3,3,2,3,4
sVd6,349,3,3,3,2,2,3,7
VmK1,444,3,2,3,3,3,3,5
eSra,506,2,2,3,2,2,2,3
5Bky,488,2,2,2,2,4,4,4
qQiz,552,3,3,3,3,3,2,5
rCks,100,2,3,3,2,2,3,6
kbPk,431,3,2,3,3,3,3,6
8Bi2,383,2,2,3,2,2,3,4
nAYf,533,3,3,3,3,3,4,7
Vfuc,155,2,2,2,2,2,1,3
aSXS,599,1,2,4,2,2,3,4
ScK5,518,3,3,2,3,3,3,5
DdkL,668,2,2,1,2,1,1,2
gtcX,363,1,2,2,2,3,3,3
rdRj,124,4,3,3,0,3,2,6
ZyzE,615,2,1,2,1,2,1,3
QRZF,576,3,3,3,2,3,3,6
exPY,146,2,2,3,3,3,4,6
HXa7,312,3,2,3,3,3,3,6
i9W2,347,2,2,3,2,2,2,4
K1tV,106,2,2,3,2,3,4,6
xWXJ,468,1,2,2,2,3,2,3
zapQ,356,3,2,3,0,3,2,4
6RUB,234,2,2,2,3,2,3,5
4XbG,312,2,2,3,3,3,3,6
WAUc,86,2,2,1,1,1,1,3
VAb8,456,3,3,3,2,3,3,6
Y5w7,592,3,3,3,3,3,4,6
u4Fm,30,1,1,2,2,1,2,3
hSpd,628,3,2,3,0,3,3,5
tNxS,162,2,2,3,3,3,4,7
uGTE,404,2,1,1,1,1,1,1
vTNW,185,2,1,2,2,1,2,3
VXVr,403,3,2,3,3,3,4,7
RtmM,565,2,2,3,2,2,2,4
pGK1,312,3,2,3,2,3,3,5
pWu1,565,2,3,3,2,3,3,5
X7uJ,253,2,2,3,3,2,4,5
x1bz,237,2,2,2,2,3,1,3
tiZW,462,2,2,2,2,2,2,3
A9JM,229,2,2,2,2,2,2,3
WAQA,334,2,2,2,3,2,2,4
Bk3X,715,2,2,3,3,3,3,5
N8Jh,216,2,2,2,3,2,3,4
uiQo,548,2,2,3,2,2,3,4
GE6g,89,3,3,3,0,2,3,7
9qhX,162,3,3,3,3,3,3,7
KeEB,477,2,3,3,2,2,4,4
FZ9R,252,1,1,3,3,3,2,2
R5pp,287,2,2,2,2,3,4,5
QztY,438,3,3,3,3,3,3,6
kuTg,252,2,3,3,2,4,3,6
PeBL,154,3,3,2,0,3,3,7
otAn,500,2,2,2,2,2,2,5
3zgy,499,2,1,3,3,2,3,4
KTc2,239,2,2,3,1,4,4,3
jKcB,643,1,1,2,1,1,1,2
3w8v,686,2,2,3,3,4,3,5
BFuE,444,2,2,4,2,2,4,5
Y4gZ,264,2,2,3,1,4,4,4
yz3V,341,3,2,2,3,3,3,5
Cy15,433,3,3,3,3,3,3,6
uJmW,545,2,2,3,2,1,4,6
7DCy,188,3,2,3,3,3,4,6
mRrj,498,2,2,3,3,4,4,3
xeJ6,721,2,2,3,3,2,4,6
yWgH,270,3,3,3,3,3,3,7
9kNS,360,3,3,3,3,3,4,6
ssU4,151,2,2,3,2,3,3,3
4Wp7,516,2,2,3,0,3,3,5
Rwwu,308,2,2,2,3,2,3,5
CGC7,563,2,1,2,2,3,4,4
Ws6G,360,2,2,3,3,4,3,4
kjbd,16,3,3,3,3,3,3,6
665k,188,3,3,3,2,3,4,7
mNo8,352,2,2,4,3,3,4,5
jxbd,370,2,2,3,2,3,3,3
pLrc,344,2,3,3,3,3,2,5
1dts,116,2,2,2,3,3,3,3
xuLr,228,2,3,2,1,3,3,4
gzKD,629,3,2,2,2,3,2,4
S6cP,175,2,2,2,2,3,3,3
gGdJ,392,2,2,3,3,2,3,5
PGnV,604,3,2,3,3,2,4,6
fvjT,209,1,1,2,2,2,1,3
Ay6h,152,3,3,3,4,3,4,7
KdGD,151,2,1,2,1,1,1,2
cfm5,416,2,2,3,2,3,3,4
yGNu,270,2,3,3,3,3,4,7
gTaf,22,3,2,3,3,3,4,7
p4uw,62,3,2,3,3,2,3,5
284r,652,3,3,3,4,3,4,7
W8U3,565,2,2,3,2,2,2,4
Pg4H,562,2,2,3,3,3,3,5
FVgb,80,2,2,2,2,4,3,4
vxAj,643,3,3,2,2,2,2,4
XxGG,273,3,2,3,3,2,3,6
rZWA,487,3,2,2,2,2,3,5
ePQo,56,2,2,3,3,4,3,5
mWzt,683,1,2,2,3,2,1,3
fbZ3,710,2,2,3,2,3,3,5
jqdF,280,2,2,1,2,3,2,3
NnB7,227,1,1,2,1,2,1,2
DDEZ,257,2,2,2,2,3,3,4
mLr4,518,2,2,1,2,2,2,2
hFXt,666,2,2,3,3,3,3,6
eyXa,71,2,2,3,3,2,2,5
Ksxb,381,3,3,3,3,3,3,6
fNi8,327,2,2,3,3,2,4,5
5zu1,334,1,2,2,1,2,2,3
Yqgk,428,2,2,2,1,2,2,3
DMf5,416,2,2,3,3,3,3,5
eKur,523,2,2,3,2,2,2,2
FZrF,341,2,2,3,3,2,3,4
23ZV,683,3,3,3,3,3,3,7
z1Ue,323,2,2,1,4,4,3,4
JzHd,499,2,2,1,0,2,2,3
JhWM,446,3,4,3,3,3,2,8
pTzX,175,2,3,3,2,3,2,5
D5bH,177,2,1,1,1,1,2,2
w3Zc,224,3,1,3,2,3,3,3
xoLg,47,2,2,3,2,3,3,6
Yjus,327,3,2,3,3,4,3,7
KPQZ,59,2,2,2,2,2,2,4
Bjpr,478,3,3,3,3,3,3,6
ApdT,168,2,2,3,3,3,4,5
VTn3,683,2,2,3,2,2,3,4
RGiV,607,3,3,3,3,3,3,7
Zzw5,464,2,2,2,2,2,3,3
xP2G,669,2,2,1,2,1,3,3
ARb1,443,2,2,2,2,2,2,4
DjQD,550,3,2,3,3,2,2,5
VBTA,108,2,2,3,3,2,3,4
56AM,469,2,2,3,2,2,2,4
e9dk,571,2,2,3,2,2,3,4
Savf,83,2,1,3,3,2,3,4
